(-0.5262379943674, 4.762283244573856)
(-3.227204467091668, -71.26336690807351)
(2.5733234751972356, -56.79651277544901)
(4.696550724944453, -2091.2405080175295)
(-3.7006028795352073, 587.5112564324515)
(-4.660370788013319, 374.87308731117434)
(2.4742112875678384, 0.7356253442413134)
(2.43273392201038, 46.13642568440594)
(-0.9917505097549295, -3.018977900592888)
(-2.8470745175119427, -22.82591651538757)
(0.16025337924448024, 3.3789694852891525)
(-1.1989521645809633, 7.952636205563484)
(-4.1764146156453705, 1330.5268742285257)
(-1.7791248909783786, 41.201529194671394)
(0.7986580589112826, 3.512137134376202)
(-2.185190905844381, -73.29272904588154)
(1.2884979212431293, -14.814988791018003)
(1.2049983258330954, -5.221090541601352)
(0.49891579321716595, -5.546232660018743)
(0.799527201476665, -5.1329974742247595)
